기종 (Model),항목 (Section),작업 (Task Description),링크 (Reference)
A321,J. Standard Prac.,Find the engine standard practices (IAE),AMM 70-00-00-00
A321,J. Standard Prac.,Find the standard torques (Engine),Ref. AMM TASK 70-24-00-910-814
A321,J. Standard Prac.,E/E standard procedures,Ref. ESPM 20-51-00
A321,J. Standard Prac.,E/E repair procedures,Ref. ESPM 20-53-00
A321,J. Standard Prac.,E/E cleaning procedures,Ref. ESPM 20-55-00
A321,K. Data Loading,Upload the FM data,Ref. AMM TASK 22-70-00-610-008
A321,K. Data Loading,Crossload FM data,Ref. AMM TASK 22-70-00-610-009
A321,K. Data Loading,Download FM data,Ref. AMM TASK 22-70-00-610-006
A321,K. Data Loading,Upload the FDIMU DFDRS software,Ref. AMM TASK 31-33-00-710-013
A321,K. Data Loading,Upload the optical QAR software,Ref. AMM TASK 31-33-00-710-008
A321,K. Data Loading,Upload the WGL-QAR software,Ref. AMM TASK 31-33-00-710-017
A321,L. Materials,Consumable Material List (CML) general information,AMM 20-31-00-00
A321,L. Materials,List of materials for APU service,AMM 20-33-00-00
A321,L. Materials,List of materials for IDG service,AMM 20-34-00-00
A321,L. Materials,Consumable Material List (Engine),Ref. AMM TASK 70-30-00-918-010
A321,L. Materials,Consumable Material List (Engine),Ref. AMM TASK 70-30-00-918-804
A330,H. Unscheduled,Find and measure all types of leaks,Ref. AMM TASK 05-50-00-790-801
A330,H. Unscheduled,Find all the unscheduled maintenance inspections,Ref. AMM 05-51-XX PB 601
A330,J. Standard Prac.,Find the standard procedures (Airframe),Ref. AMM D/O 20-20-00-00
A330,J. Standard Prac.,Find the standard torques (Airframe),Ref. AMM D/O 20-21-00-00
A330,J. Standard Prac.,Find the installation and repair of tubings,AMM 20-23-11 PB 201
A330,J. Standard Prac.,Find the bonding procedures,AMM 20-28-00 PB 201
A330,J. Standard Prac.,Find the wiring standard procedures (Engine),Ref. AMM TASK 70-71-00-910-801
A330,J. Standard Prac.,Find the standard torques (Engine),Ref. AMM TASK 70-23-00-910-801
A330,J. Standard Prac.,Find the nacelle maintenance procedures,Ref. AMM TASK 70-00-00-910-801
A330,J. Standard Prac.,E/E standard procedures,ESPM 20-51-00
A330,J. Standard Prac.,E/E repair procedures,ESPM 20-53-00
A330,J. Standard Prac.,E/E cleaning procedures,ESPM 20-55-00
A330,K. Data Loading,Crossload the FM data,Ref. AMM TASK 22-70-00-610-807
A330,K. Data Loading,Download the FM data,Ref. AMM TASK 22-70-00-610-808
A330,K. Data Loading,Upload the FM data,Ref. AMM TASK 22-70-00-610-809
A330,K. Data Loading,Upload the FDIU software,Ref. AMM TASK 31-33-00-710-811
A330,K. Data Loading,Upload the FDIMU software,Ref. AMM TASK 31-33-00-710-809
A330,K. Data Loading,Upload the QAR software,Ref. AMM TASK 31-33-00-710-806
A330,L. Materials,List of materials for aircraft service,AMM D/O 20-31-00-00
A330,L. Materials,List of materials for APU service,AMM D/O 20-33-00-00
A330,L. Materials,List of materials for IDG service,AMM D/O 20-34-00-00
A330,L. Materials,Consumable Material List (Engine),Ref. AMM TASK 70-30-00-910-801
A350,H. Unscheduled,Measurement of hydraulic system leaks,Ref. MP A350-A-29-XX-XX-00ZZZ-360Z-A
A350,H. Unscheduled,Measurement of fuel system leaks,Ref. MP A350-A-28-11-XX-00ZZZ-282Z-A
A350,H. Unscheduled,Measurement of power-plant system leaks,Ref. MP A350-A-71-71-63-00ZZZ-360Z-A
A350,H. Unscheduled,All unscheduled maintenance inspections,Refer to 0551XX
A350,J. Standard Prac.,Standard mechanical torques (Airframe),Ref. MP A350-A-20-51-50-01ZZZ-25BZ-A
A350,J. Standard Prac.,Installation and repair of the tubing,Ref. MP A350-A-20-51-61-04ZZZ-25BZ-A
A350,J. Standard Prac.,Engine standard procedures,Ref. MP A350-A-71-XX-XX-06ZZZ-398Z-A
A350,J. Standard Prac.,Standard tightening torques (Engine),Ref. MP A350-A-70-70-63-04ZZZ-398Z-A
A350,J. Standard Prac.,E/E standard / repair / cleaning procedures,ESP 205100 / 205300 / 205500
A350,K. Data Loading,Download of the files from the FMC,Ref. MP A350-A-22-7X-XX-01ZZZ-752Z-A
A350,K. Data Loading,Upload of the software to the FMC,Ref. MP A350-A-22-7X-XX-00ZZZ-752Z-A
A350,K. Data Loading,Upload of the software to the CDAU (SSFDR),Ref. MP A350-A-31-33-XX-00ZZZ-752Z-A
A350,L. Materials,List of materials for APU servicing,Ref. MP A350-A-49-91-XX-01ZZZ-200Z-A
A350,L. Materials,List of materials for VFG servicing,Ref. MP A350-A-24-22-XX-03ZZZ-200Z-A
A350,L. Materials,Consumable Material List (Engine),Ref. MP A350-A-70-8X-XX-00ZZZ-398Z-A
A380,H. Unscheduled,Find and measure all types of leaks,Ref. AMM TASK 05-50-00-790-801
A380,H. Unscheduled,Find all the unscheduled maintenance inspections,Ref. AMM 05-51-XX PB 601
A380,J. Standard Prac.,Find the standard procedures (Airframe),AMM 20-2X-XX PB 201
A380,J. Standard Prac.,Find the standard torques (Airframe),AMM 20-21-XX PB 201
A380,J. Standard Prac.,Find the installation and repair of tubing,AMM 20-23-11 PB 201
A380,J. Standard Prac.,Find the bonding procedures,AMM 20-28-00 PB 201
A380,J. Standard Prac.,Find the wiring standard procedures (Engine),AMM 70-71-00 PB 201
A380,J. Standard Prac.,Find the standard torques (Engine),Ref. AMM TASK 70-51-00-910-801
A380,J. Standard Prac.,E/E standard / repair / cleaning procedures,ESPM 20-51-00 / 20-53-00 / 20-55-00
A380,K. Data Loading,Download files from the FMC,Ref. AMM TASK 22-70-00-860-804
A380,K. Data Loading,Upload software to the FMC,Ref. AMM TASK 22-70-00-616-801
A380,K. Data Loading,DFDRS loading,AMM 45-33-00 PB 001
A380,L. Materials,List of materials for aircraft service,AMM 20-31-00 PB 001
A380,L. Materials,List of materials for APU service,Ref. AMM TASK 49-91-00-910-801
A380,L. Materials,List of approved engine lubricating oils,Ref. AMM TASK 70-02-02-910-801
A380,L. Materials,Consumable Material List (Engine),Ref. AMM TASK 70-30-00-910-804
