기종 (Model),항목 (Section),작업 (Task Description),링크 (Reference)
A350,A. Configuration,Retraction of the spoilers,Ref. MP A350-A-27-64-XX-01ZZZ-170Z-A
A350,A. Configuration,Inhibition of the thrust reverser for maintenance,Ref. MP A350-A-78-3X-XX-00ZZZ-343Z-A
A350,B. Deactivation,Deactivation/Reactivation MPs,Refer to the MMEL or CDL
A350,C. Energization,Energization of the aircraft electrical circuits from the external power receptacles,Ref. MP A350-A-24-41-XX-00ZZZ-761Z-A
A350,C. Energization,Energization of the aircraft electrical circuits from the external power receptacles,Ref. MP A350-A-24-41-XX-00001-761B-A
A350,C. Energization,Energization of the aircraft electrical circuits from the external power receptacles,Ref. MP A350-A-24-41-XX-00001-761C-A
A350,C. Energization,Energization of the aircraft electrical circuits from the APU,Ref. MP A350-A-24-41-XX-00001-761E-A
A350,C. Energization,De-energization of the aircraft electrical circuits from the external power receptacles,Ref. MP A350-A-24-41-XX-00ZZZ-561Z-A
A350,C. Energization,De-energization of the aircraft electrical circuits from the external power receptacles,Ref. MP A350-A-24-41-XX-00001-561B-A
A350,C. Energization,De-energization of the aircraft electrical circuits from the external power receptacles,Ref. MP A350-A-24-41-XX-00001-561C-A
A350,C. Energization,De-energization of the aircraft electrical circuits from the APU,Ref. MP A350-A-24-41-XX-00001-561E-A
A350,C. Pressurization,Pressurization of the Green hydraulic system with the electric pump,Ref. MP A350-A-29-XX-XX-00ZZZ-762Z-A
A350,C. Pressurization,Pressurization of the Green hydraulic system with the hydraulic ground power-cart,Ref. MP A350-A-29-XX-XX-02ZZZ-762Z-A
A350,C. Pressurization,Pressurization of the Yellow hydraulic system with the electric pump,Ref. MP A350-A-29-XX-XX-01ZZZ-762Z-A
A350,C. Pressurization,Pressurization of the Yellow hydraulic system with the hydraulic ground power-cart,Ref. MP A350-A-29-XX-XX-03ZZZ-762Z-A
A350,C. Pressurization,Depressurization of the Green hydraulic system with the electric pump,Ref. MP A350-A-29-XX-XX-02ZZZ-562Z-A
A350,C. Pressurization,Depressurization of the Green hydraulic system with the hydraulic ground power-cart,Ref. MP A350-A-29-XX-XX-00ZZZ-562Z-A
A350,C. Pressurization,Depressurization of the Yellow hydraulic system with the electric pump,Ref. MP A350-A-29-XX-XX-03ZZZ-562Z-A
A350,C. Pressurization,Depressurization of the Yellow hydraulic system with the hydraulic ground power-cart,Ref. MP A350-A-29-XX-XX-01ZZZ-562Z-A
A350,C. Pressurization,Depressurization of the related hydraulic system before maintenance,Ref. MP A350-A-29-XX-XX-04ZZZ-562Z-A
A350,C. Pressurization,Depressurization of the related hydraulic system before maintenance,Ref. MP A350-A-29-XX-XX-05ZZZ-562Z-A
A350,C. Pressurization,Pressurization of the bleed air system through the HP ground connectors,Ref. MP A350-A-36-12-XX-00ZZZ-398Z-A
A350,C. Pressurization,Pressurization of the bleed air system through the APU,Ref. MP A350-A-36-12-XX-01ZZZ-398Z-A
A350,D. Access Doors,Opening of the passenger/crew doors,Ref. MP A350-A-52-1X-XX-00ZZZ-132Z-A
A350,D. Access Doors,Closing of the passenger/crew doors,Ref. MP A350-A-52-1X-XX-01ZZZ-132Z-A
A350,D. Access Doors,Opening of the cockpit escape hatch (Cockpit),Ref. MP A350-A-52-21-74-00ZZZ-132Z-A
A350,D. Access Doors,Closing of the cockpit escape hatch (Cockpit),Ref. MP A350-A-52-21-74-00ZZZ-133Z-A
A350,D. Access Doors,Opening of the avionics compartment door (E/E),Ref. MP A350-A-52-41-73-00ZZZ-132Z-A
A350,D. Access Doors,Closing of the avionics compartment door (E/E),Ref. MP A350-A-52-41-73-00ZZZ-133Z-A
A350,D. Access Doors,Opening of the bulk cargo-compartment door,Ref. MP A350-A-52-3X-XX-04ZZZ-132Z-A
A350,D. Access Doors,Closing of the bulk cargo-compartment door,Ref. MP A350-A-52-3X-XX-00ZZZ-133Z-A
A350,D. Access Doors,Opening of the forward and aft cargo-compartment doors,Ref. MP A350-A-52-3X-XX-00ZZZ-132Z-A
A350,D. Access Doors,Opening of the forward and aft cargo-compartment doors,Ref. MP A350-A-52-3X-XX-09ZZZ-132Z-A
A350,D. Access Doors,Opening of the forward and aft cargo-compartment doors,Ref. MP A350-A-52-3X-XX-02ZZZ-132Z-A
A350,D. Access Doors,Closing of the forward and aft cargo-compartment doors,Ref. MP A350-A-52-3X-XX-01ZZZ-132Z-A
A350,D. Access Doors,Closing of the forward and aft cargo-compartment doors,Ref. MP A350-A-52-3X-XX-05ZZZ-133Z-A
A350,D. Access Doors,Closing of the forward and aft cargo-compartment doors,Ref. MP A350-A-52-3X-XX-03ZZZ-132Z-A
A350,D. Access Doors,Opening of the NLG doors,Ref. MP A350-A-32-22-XX-00ZZZ-397Z-A
A350,D. Access Doors,Closing of the NLG doors,Ref. MP A350-A-32-22-XX-01ZZZ-397Z-A
A350,D. Access Doors,Opening of the MLG doors,Ref. MP A350-A-32-12-XX-00ZZZ-397Z-A
A350,D. Access Doors,Closing of the MLG doors,Ref. MP A350-A-32-12-XX-01ZZZ-397Z-A
A350,D. Access Doors,Opening of the fan cowl doors,Ref. MP A350-A-71-13-XX-00ZZZ-398Z-A
A350,D. Access Doors,Closing of the fan cowl doors,Ref. MP A350-A-71-13-XX-01ZZZ-398Z-A
